src,rel,dst
76,has_attribute,180
76,is_a,109
77,has_attribute,154
77,has_attribute,169
77,is_a,113
78,has_attribute,153
78,has_attribute,169
78,has_attribute,170
78,is_a,115
79,has_attribute,154
79,has_attribute,169
79,is_a,113
80,has_attribute,139
80,has_attribute,149
80,has_attribute,169
80,has_attribute,170
80,is_a,116
81,has_attribute,144
81,has_attribute,161
81,has_attribute,165
81,has_attribute,162
81,has_attribute,159
81,has_attribute,180
81,is_a,119
82,has_attribute,148
82,has_attribute,142
82,has_attribute,168
82,is_a,102
83,has_attribute,175
83,has_attribute,176
83,has_attribute,168
83,is_a,104
84,has_attribute,179
84,has_attribute,178
84,is_a,106
85,has_attribute,159
85,has_attribute,162
85,has_attribute,165
85,is_a,119
86,has_attribute,177
86,has_attribute,178
86,is_a,105
87,has_attribute,177
87,has_attribute,178
87,is_a,105
88,has_attribute,139
88,has_attribute,149
88,has_attribute,166
88,has_attribute,169
88,has_attribute,167
88,has_attribute,170
88,is_a,108
89,has_attribute,159
89,has_attribute,162
89,has_attribute,165
89,has_attribute,141
89,is_a,118
90,has_attribute,144
90,has_attribute,161
90,has_attribute,146
90,has_attribute,162
90,has_attribute,165
90,has_attribute,159
90,is_a,118
91,has_attribute,152
91,has_attribute,153
91,has_attribute,140
91,has_attribute,172
91,has_attribute,169
91,is_a,101
92,has_attribute,148
92,has_attribute,142
92,has_attribute,168
92,is_a,102
93,has_attribute,153
93,has_attribute,169
93,has_attribute,170
93,is_a,115
94,has_attribute,179
94,has_attribute,178
94,is_a,106
95,has_attribute,139
95,has_attribute,140
95,has_attribute,146
95,has_attribute,172
95,has_attribute,169
95,is_a,100
96,has_attribute,147
96,has_attribute,156
96,has_attribute,155
96,has_attribute,171
96,is_a,117
97,has_attribute,139
97,has_attribute,149
97,has_attribute,169
97,has_attribute,170
97,is_a,112
98,has_attribute,168
98,has_attribute,170
98,is_a,114
99,has_attribute,154
99,has_attribute,169
99,is_a,113
100,is_a,131
100,has_attribute,139
100,has_attribute,140
100,has_attribute,146
100,has_attribute,172
100,has_attribute,169
101,has_attribute,152
101,has_attribute,153
101,has_attribute,140
101,has_attribute,172
101,has_attribute,169
101,is_a,125
101,is_a,120
102,is_a,135
102,has_attribute,148
102,has_attribute,142
102,has_attribute,168
103,is_a,123
103,has_attribute,174
103,has_attribute,178
103,has_attribute,175
104,is_a,135
104,has_attribute,175
104,has_attribute,176
104,has_attribute,168
105,is_a,124
105,has_attribute,177
105,has_attribute,178
106,is_a,128
106,has_attribute,179
106,has_attribute,178
107,is_a,129
107,is_a,120
107,has_attribute,150
107,has_attribute,169
107,has_attribute,170
108,is_a,131
108,has_attribute,139
108,has_attribute,149
108,has_attribute,166
108,has_attribute,167
108,has_attribute,169
108,has_attribute,170
109,is_a,133
109,has_attribute,180
110,is_a,133
110,has_attribute,180
110,has_attribute,171
111,is_a,131
111,has_attribute,139
111,has_attribute,149
111,has_attribute,169
111,has_attribute,170
112,is_a,131
112,has_attribute,139
112,has_attribute,149
112,has_attribute,169
112,has_attribute,170
113,is_a,129
113,has_attribute,154
113,has_attribute,169
114,is_a,131
114,is_a,134
114,has_attribute,168
114,has_attribute,170
115,is_a,136
115,has_attribute,153
115,has_attribute,169
115,has_attribute,170
116,is_a,131
116,has_attribute,139
116,has_attribute,149
116,has_attribute,169
116,has_attribute,170
117,is_a,137
117,is_a,135
117,has_attribute,147
117,has_attribute,156
117,has_attribute,155
117,has_attribute,171
118,is_a,138
118,has_attribute,141
118,has_attribute,158
118,has_attribute,160
118,has_attribute,159
118,has_attribute,162
118,has_attribute,165
118,has_attribute,161
119,is_a,138
119,has_attribute,159
119,has_attribute,162
119,has_attribute,161
120,is_a,130
120,has_attribute,169
120,has_attribute,170
121,is_a,131
121,has_attribute,139
121,has_attribute,140
121,has_attribute,146
121,has_attribute,172
121,has_attribute,169
122,has_attribute,178
123,is_a,122
123,has_attribute,174
123,has_attribute,178
124,is_a,128
124,has_attribute,177
124,has_attribute,178
125,is_a,120
125,has_attribute,152
125,has_attribute,153
125,has_attribute,140
125,has_attribute,172
125,has_attribute,169
126,is_a,135
126,has_attribute,148
126,has_attribute,142
126,has_attribute,168
127,is_a,135
127,has_attribute,175
127,has_attribute,176
127,has_attribute,168
128,is_a,122
128,has_attribute,178
129,is_a,120
129,has_attribute,154
129,has_attribute,169
130,has_attribute,170
131,is_a,120
131,has_attribute,139
131,has_attribute,149
131,has_attribute,169
131,has_attribute,170
132,is_a,131
133,is_a,122
133,has_attribute,180
134,is_a,130
134,has_attribute,168
134,has_attribute,170
135,is_a,130
135,has_attribute,171
136,is_a,120
136,has_attribute,153
136,has_attribute,169
136,has_attribute,170
137,is_a,135
137,has_attribute,147
137,has_attribute,156
137,has_attribute,155
137,has_attribute,171
138,is_a,122
138,has_attribute,159
138,has_attribute,162
138,has_attribute,165
